[18:50:02] Autonomous Robot Node initialized. PID=5596, Start=(7, 1), Goal=(7, 20)
[18:50:02] Initial path planned (20 steps) to (7, 20).
[18:50:02] [Tick 0] Pos=(7, 2), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=MOVED, Priority=381.0, Battery=84.0%, Waits=0
[18:50:03] [Tick 1] Pos=(7, 3), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=MOVED, Priority=382.0, Battery=83.0%, Waits=0
[18:50:03] [Tick 2] Pos=(7, 4), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=MOVED, Priority=383.0, Battery=82.0%, Waits=0
[18:50:03] [Tick 3] Pos=(7, 5), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=MOVED, Priority=384.0, Battery=81.0%, Waits=0
[18:50:03] [Tick 4] Pos=(7, 6), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=MOVED, Priority=385.0, Battery=80.0%, Waits=0
[18:50:03] [Tick 5] Pos=(7, 7), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=MOVED, Priority=386.0, Battery=79.0%, Waits=0
[18:50:03] [Tick 6] Pos=(7, 8), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=MOVED, Priority=387.0, Battery=78.0%, Waits=0
[18:50:03] [Tick 7] Pos=(7, 9), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=MOVED, Priority=388.0, Battery=77.0%, Waits=0
[18:50:03] [Tick 8] Pos=(7, 10), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=MOVED, Priority=389.0, Battery=76.0%, Waits=0
[18:50:03] [Tick 9] CONFLICT DETECTED with AMR-04 (SWAP_CONFLICT) at cell (7, 11)! My Priority=390.0, Peer Priority=190.0
[18:50:03] [Tick 9] ARBITRATION RESULT: WON against AMR-04. Action=PROCEED.
[18:50:03] [Tick 9] Pausing 1 tick at (7, 10) for yielding peer AMR-04 to clear (7, 11).
[18:50:03] [Tick 9] Pos=(7, 10), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=390.0, Battery=75.9%, Waits=1
[18:50:04] [Tick 10] CONFLICT DETECTED with AMR-04 (CELL_OVERLAP) at cell (7, 11)! My Priority=400.0, Peer Priority=200.0
[18:50:04] [Tick 10] ARBITRATION RESULT: WON against AMR-04. Action=PROCEED.
[18:50:04] [Tick 10] Pausing 1 tick at (7, 10) for yielding peer AMR-04 to clear (7, 11).
[18:50:04] [Tick 10] Pos=(7, 10), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=400.0, Battery=75.8%, Waits=2
[18:50:04] [Tick 11] Pos=(7, 11), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=MOVED, Priority=410.0, Battery=74.8%, Waits=0
[18:50:04] [Tick 12] Pos=(7, 12), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=MOVED, Priority=391.0, Battery=73.8%, Waits=0
[18:50:04] [Tick 13] Pos=(7, 13), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=MOVED, Priority=392.0, Battery=72.8%, Waits=0
[18:50:04] [Tick 14] Pos=(7, 14), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=MOVED, Priority=393.0, Battery=71.8%, Waits=0
[18:50:04] [Tick 15] Pos=(7, 15), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=MOVED, Priority=394.0, Battery=70.8%, Waits=0
[18:50:04] [Tick 16] Pos=(7, 16), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=MOVED, Priority=395.0, Battery=69.8%, Waits=0
[18:50:04] [Tick 17] Pos=(7, 17), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=MOVED, Priority=396.0, Battery=68.8%, Waits=0
[18:50:04] [Tick 18] Pos=(7, 18), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=MOVED, Priority=397.0, Battery=67.8%, Waits=0
[18:50:04] [Tick 19] Pos=(7, 19), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=MOVED, Priority=398.0, Battery=66.8%, Waits=0
[18:50:05] [Tick 20] Pos=(7, 20), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=MOVED, Priority=399.0, Battery=65.8%, Waits=0
[18:50:05] [Tick 21] Pos=(7, 20), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=400.0, Battery=65.7%, Waits=1
[18:50:05] [Tick 22] Pos=(7, 20), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=410.0, Battery=65.6%, Waits=2
[18:50:05] [Tick 23] Pos=(7, 20), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=420.0, Battery=65.5%, Waits=3
[18:50:05] [Tick 24] Pos=(7, 20), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=430.0, Battery=65.4%, Waits=4
[18:50:05] [Tick 25] Pos=(7, 20), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=440.0, Battery=65.3%, Waits=5
[18:50:05] [Tick 26] Pos=(7, 20), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=450.0, Battery=65.2%, Waits=6
[18:50:05] [Tick 27] Pos=(7, 20), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=460.0, Battery=65.1%, Waits=7
[18:50:05] [Tick 28] Pos=(7, 20), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=470.0, Battery=65.0%, Waits=8
[18:50:05] [Tick 29] Pos=(7, 20), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=480.0, Battery=64.9%, Waits=9
[18:50:06] [Tick 30] Pos=(7, 20), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=490.0, Battery=64.8%, Waits=10
[18:50:06] [Tick 31] Pos=(7, 20), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=500.0, Battery=64.7%, Waits=11
[18:50:06] [Tick 32] Pos=(7, 20), Heading=SOUTH, State=EN_ROUTE_PICKUP, Action=WAITING, Priority=510.0, Battery=64.6%, Waits=12
