[17:58:58] Autonomous Robot Node initialized. PID=26692, Start=(7, 20), Goal=(7, 1), Urgency=2
[17:58:58] Initial path planned: 20 steps to goal (7, 1).
[17:58:58] [Tick 0] Pos=(7, 19), Heading=NORTH, State=EN_ROUTE, Action=MOVED, Priority=181.0, Battery=59.0%, Waits=0
[17:58:58] [Tick 1] Pos=(7, 18), Heading=NORTH, State=EN_ROUTE, Action=MOVED, Priority=182.0, Battery=58.0%, Waits=0
[17:58:58] [Tick 2] Pos=(7, 17), Heading=NORTH, State=EN_ROUTE, Action=MOVED, Priority=183.0, Battery=57.0%, Waits=0
[17:58:58] [Tick 3] Pos=(7, 16), Heading=NORTH, State=EN_ROUTE, Action=MOVED, Priority=184.0, Battery=56.0%, Waits=0
[17:58:58] [Tick 4] Pos=(7, 15), Heading=NORTH, State=EN_ROUTE, Action=MOVED, Priority=185.0, Battery=55.0%, Waits=0
[17:58:58] [Tick 5] Pos=(7, 14), Heading=NORTH, State=EN_ROUTE, Action=MOVED, Priority=186.0, Battery=54.0%, Waits=0
[17:58:59] [Tick 6] Pos=(7, 13), Heading=NORTH, State=EN_ROUTE, Action=MOVED, Priority=187.0, Battery=53.0%, Waits=0
[17:58:59] [Tick 7] Pos=(7, 12), Heading=NORTH, State=EN_ROUTE, Action=MOVED, Priority=188.0, Battery=52.0%, Waits=0
[17:58:59] [Tick 8] Pos=(7, 11), Heading=NORTH, State=EN_ROUTE, Action=MOVED, Priority=189.0, Battery=51.0%, Waits=0
[17:58:59] [Tick 9] CONFLICT DETECTED with AMR-03 (SWAP_CONFLICT) at cell (7, 10)! My Priority=190.0, Peer Priority=390.0
[17:58:59] [Tick 9] ARBITRATION RESULT: LOST to AMR-03. Action=YIELD. Yielded right-of-way, incremented wait_ticks=1.
[17:58:59] [Tick 9] Pos=(7, 11), Heading=NORTH, State=CONFLICT_NEGOTIATING, Action=YIELDED / BRAKED, Priority=190.0, Battery=51.0%, Waits=1
[17:58:59] [Tick 10] Pos=(7, 11), Heading=NORTH, State=CONFLICT_NEGOTIATING, Action=WAITING, Priority=210.0, Battery=50.9%, Waits=2
[17:58:59] [Tick 11] Pos=(7, 11), Heading=NORTH, State=CONFLICT_NEGOTIATING, Action=WAITING, Priority=220.0, Battery=50.8%, Waits=3
[17:58:59] [Tick 12] Pos=(7, 11), Heading=NORTH, State=CONFLICT_NEGOTIATING, Action=WAITING, Priority=230.0, Battery=50.7%, Waits=4
[17:58:59] [Tick 13] Pos=(7, 11), Heading=NORTH, State=CONFLICT_NEGOTIATING, Action=WAITING, Priority=240.0, Battery=50.6%, Waits=5
[17:58:59] [Tick 14] Pos=(7, 11), Heading=NORTH, State=CONFLICT_NEGOTIATING, Action=WAITING, Priority=250.0, Battery=50.5%, Waits=6
[17:58:59] [Tick 15] Pos=(7, 11), Heading=NORTH, State=CONFLICT_NEGOTIATING, Action=WAITING, Priority=260.0, Battery=50.4%, Waits=7
[17:59:00] [Tick 16] Pos=(7, 11), Heading=NORTH, State=CONFLICT_NEGOTIATING, Action=WAITING, Priority=270.0, Battery=50.3%, Waits=8
[17:59:00] [Tick 17] Pos=(7, 11), Heading=NORTH, State=CONFLICT_NEGOTIATING, Action=WAITING, Priority=280.0, Battery=50.2%, Waits=9
[17:59:00] [Tick 18] Pos=(7, 11), Heading=NORTH, State=CONFLICT_NEGOTIATING, Action=WAITING, Priority=290.0, Battery=50.1%, Waits=10
[17:59:00] [Tick 19] Pos=(7, 11), Heading=NORTH, State=CONFLICT_NEGOTIATING, Action=WAITING, Priority=300.0, Battery=50.0%, Waits=11
